path,bytes,gib,reason
checkpoints/camera_ready_run_menon_logit_adjusted_lr5e5_s42/checkpoint-272/scheduler.pt,1465,0.000001,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_menon_logit_adjusted_lr5e5_s43/checkpoint-240/optimizer.pt,700906667,0.652770,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_menon_logit_adjusted_lr5e5_s43/checkpoint-240/rng_state.pth,14645,0.000014,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_menon_logit_adjusted_lr5e5_s43/checkpoint-240/scheduler.pt,1465,0.000001,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_menon_logit_adjusted_lr5e5_s44/checkpoint-208/optimizer.pt,700906667,0.652770,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_menon_logit_adjusted_lr5e5_s44/checkpoint-208/rng_state.pth,14645,0.000014,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_menon_logit_adjusted_lr5e5_s44/checkpoint-208/scheduler.pt,1465,0.000001,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_nicme_v2_hybrid_pretty_lr5e5_s42/checkpoint-144/optimizer.pt,700906667,0.652770,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_nicme_v2_hybrid_pretty_lr5e5_s42/checkpoint-144/rng_state.pth,14645,0.000014,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_nicme_v2_hybrid_pretty_lr5e5_s42/checkpoint-144/scheduler.pt,1465,0.000001,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_nicme_v2_hybrid_pretty_lr5e5_s43/checkpoint-128/optimizer.pt,700906667,0.652770,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_nicme_v2_hybrid_pretty_lr5e5_s43/checkpoint-128/rng_state.pth,14645,0.000014,removed optimizer/scheduler/RNG training state; model checkpoint files retained
